company,statement_type,account,account_kr,category,unit,2023,2024,2025,source_note
HYBE,consolidated,Revenue,매출액,income_statement,KRW_million,,,,
HYBE,consolidated,Cost_of_Sales,매출원가,income_statement,KRW_million,,,,
HYBE,consolidated,Gross_Profit,매출총이익,income_statement,KRW_million,,,,
HYBE,consolidated,Operating_Profit,영업이익,income_statement,KRW_million,,,,
HYBE,consolidated,Net_Income,당기순이익,income_statement,KRW_million,,,,
HYBE,consolidated,Accounts_Receivable,매출채권,balance_sheet,KRW_million,,,,
HYBE,consolidated,Inventory,재고자산,balance_sheet,KRW_million,,,,
HYBE,consolidated,Trade_Payables,매입채무,balance_sheet,KRW_million,,,,
HYBE,consolidated,Cash_and_Cash_Equivalents,현금및현금성자산,balance_sheet,KRW_million,,,,
HYBE,consolidated,Property_Plant_Equipment,유형자산,balance_sheet,KRW_million,,,,
HYBE,consolidated,Intangible_Assets,무형자산,balance_sheet,KRW_million,,,,
HYBE,consolidated,Goodwill,영업권,balance_sheet,KRW_million,,,,
HYBE,consolidated,Borrowings,차입금,balance_sheet,KRW_million,,,,
HYBE,consolidated,Interest_Expense,이자비용,income_statement,KRW_million,,,,
HYBE,consolidated,Operating_Cash_Flow,영업활동현금흐름,cash_flow,KRW_million,,,,
HYBE,consolidated,Capital_Expenditure,유형자산 취득 현금유출,cash_flow,KRW_million,,,,
HYBE,consolidated,Investment_in_Associates,관계기업 및 공동기업 투자,balance_sheet,KRW_million,,,,
HYBE,consolidated,Total_Assets,자산총계,balance_sheet,KRW_million,,,,
HYBE,consolidated,Total_Liabilities,부채총계,balance_sheet,KRW_million,,,,
