Account,2023,2024,2025
Revenue,7557001757272,7871692199887,8099147815086
Operating_Profit,460857845673,460212161525,732036535379
Net_Income,-1816669011014,-161870567171,517959587282
Total_Assets,25179968939321,25773028304462,27783524545811
Operating_Cash_Flow,1341098333644,1250459006332,1404762595727
Intangible_Assets,80379340022,5136811111376,5227758587082
Goodwill,4078204150000,3721421238000,3864102828000
Investment_in_Associates,2941239174705,2921147669375,2516857577460
Accounts_Receivable,622027314668,537737285553,569486036942
Inventory,138643535336,64900956748,76540621667
Trade_Payables,1799199009405,1893523138095,2164694656167
