Account,2023,2024,2025
Revenue,258935494000000,300870903000000,333605938000000
Operating_Profit,6566976000000,32725961000000,43601051000000
Net_Income,15487100000000,34451351000000,45206805000000
Total_Assets,455905980000000,514531948000000,566942110000000
Operating_Cash_Flow,44137427000000,72982621000000,85315148000000
Intangible_Assets,22741862000000,23738566000000,29480565000000
Goodwill,6457619000000,7168541000000,11105233000000
Investment_in_Associates,11767444000000,12592117000000,13772121000000
Accounts_Receivable,36647393000000,43623073000000,51127642000000
Inventory,51625874000000,51754865000000,52636828000000
Trade_Payables,11319824000000,12370177000000,13039380000000
